Cycle,District,Jurisdiction,Name,Path,Race,Station,NameSimpl,Party
2018,,Non-Candidate Issue Ads,DAGA PEOPLES LAWYER PROJECT,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA PEOPLES LAWYER PROJECT,Attorney General,KPHO-TV,DAGA PEOPLES LAWYER PROJECT,Democrat
2018,,Non-Candidate Issue Ads,DAGA Peoples Lawyer Project,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA Peoples Lawyer Project,Attorney General,KSAZ-TV,DAGA Peoples Lawyer Project,Democrat
2018,,Non-Candidate Issue Ads,DAGA Peoples Lawyers Project,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA Peoples Lawyers Project,Attorney General,KNXV-TV,DAGA Peoples Lawyers Project,Democrat
2018,,Local,Daniel Valenuela for Mayor 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Local/Daniel Valenuela for Mayor 2018,Mayor,KPNX,Daniel Valenuela,Democrat
2018,,Local,Daniel Valenzuela for Phoenix Mayor,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Local/Daniel Valenzuela for Phoenix Mayor,Mayor,KSAZ-TV,Daniel Valenzuela,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KSAZ-TV,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KUTP,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KPHO-TV,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KASW,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KNXV-TV,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KTVK,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC-Democratic Congressional Campaign Committee 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/DCCC-Democratic Congressional Campaign Committee 2018,House,KPNX,DCCC Democratic Congressional Campaign Committee,Democrat
2018,,Non-Candidate Issue Ads,DEFEND ARIZONA,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/DEFEND ARIZONA,Senate,KTVK,DEFEND ARIZONA,Republican
2018,,Non-Candidate Issue Ads,DEFEND ARIZONA,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DEFEND ARIZONA,Senate,KPHO-TV,DEFEND ARIZONA,Republican
2018,,Non-Candidate Issue Ads,Defend AZ,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Defend AZ,Senate,KASW,Defend ARIZONA,Republican
2018,,Non-Candidate Issue Ads,Defend AZ 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/Defend AZ 2018,Senate,KPNX,Defend ARIZONA,Republican
2018,,Non-Candidate Issue Ads,Defend Arizona,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Defend Arizona,Senate,KAZT-TV,Defend Arizona,Republican
2018,,Non-Candidate Issue Ads,Defend Arizona,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Defend Arizona,Senate,KNXV-TV,Defend Arizona,Republican
2018,,Non-Candidate Issue Ads,Defend Arizona,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/Defend Arizona,Senate,KUTP,Defend Arizona,Republican
2018,,Non-Candidate Issue Ads,Defend Arizona,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Defend Arizona,Senate,KSAZ-TV,Defend Arizona,Republican
2018,,Non-Candidate Issue Ads,Democratic Congressional Campaign,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Democratic Congressional Campaign,House,KAZT-TV,Democratic Congressional Campaign,Democrat
2018,,Non-Candidate Issue Ads,DSCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/DSCC,Senate,KSAZ-TV,DSCC,Democrat
2018,,Non-Candidate Issue Ads,DSCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/DSCC,Senate,KUTP,DSCC,Democrat
2018,,Non-Candidate Issue Ads,DSCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/DSCC,Senate,KASW,DSCC,Democrat
2018,,Non-Candidate Issue Ads,DSCC-IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/DSCC-IE,Senate,KTVK,DSCC IE,Democrat
2018,,Non-Candidate Issue Ads,DSCC IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DSCC IE,Senate,KPHO-TV,DSCC IE,Democrat
2018,,Non-Candidate Issue Ads,DSCC IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DSCC IE,Senate,KNXV-TV,DSCC IE,Democrat
2018,,Non-Candidate Issue Ads,DSCC IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/DSCC IE,Senate,KAZT-TV,DSCC IE,Democrat
2018,,Non-Candidate Issue Ads,DSCC-IE 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/DSCC-IE 2018,Senate,KPNX,DSCC IE,Democrat
2018,,Non-Candidate Issue Ads,Future 45,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Future 45,President,KASW,Future 45,Republican
2018,,Local,Gallego Democrat Mayor,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Local/Gallego Democrat Mayor,Mayor,KNXV-TV,Gallego,Democrat
2018,,Non-Candidate Issue Ads,House Majority,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/House Majority,House,KASW,House Majority,Democrat
2018,,Non-Candidate Issue Ads,HOUSE MAJORITY PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/HOUSE MAJORITY PAC,House,KTVK,HOUSE MAJORITY PAC,Democrat
2018,,Non-Candidate Issue Ads,HOUSE MAJORITY PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/HOUSE MAJORITY PAC,House,KPHO-TV,HOUSE MAJORITY PAC,Democrat
2018,,Non-Candidate Issue Ads,House Majority PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/House Majority PAC,House,KSAZ-TV,House Majority PAC,Democrat
2018,,Non-Candidate Issue Ads,House Majority PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/House Majority PAC,House,KNXV-TV,House Majority PAC,Democrat
2018,,Non-Candidate Issue Ads,House Majority PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/House Majority PAC,House,KUTP,House Majority PAC,Democrat
2018,,Non-Candidate Issue Ads,House Majority Pac 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/House Majority Pac 2018,House,KPNX,House Majority Pac,Democrat
2018,,Non-Candidate Issue Ads,INVEST IN EDUCATION COMMITTEE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTAZ/Political Files/2018/Non-Candidate Issue Ads/INVEST IN EDUCATION COMMITTEE,GOTV,KTAZ,INVEST IN EDUCATION COMMITTEE,Vote
2018,,Local,Kate Gallego for Mayor 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Local/Kate Gallego for Mayor 2018,Mayor,KPNX,Kate Gallego,Democrat
2018,,Local,Kate Gallego For Phoenix - Mayor,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Local/Kate Gallego For Phoenix - Mayor,Mayor,KSAZ-TV,Kate Gallego,Democrat
2018,,Non-Candidate Issue Ads,KTVW Latino Vote,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVW-DT/Political Files/2018/Non-Candidate Issue Ads/KTVW Latino Vote,GOTV,KTVW-DT,KTVW Latino Vote,Vote
2018,,Non-Candidate Issue Ads,LATINO VOTE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTAZ/Political Files/2018/Non-Candidate Issue Ads/LATINO VOTE,GOTV,KTAZ,LATINO VOTE,Vote
2018,,Non-Candidate Issue Ads,MAJORITY FORWARD,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/MAJORITY FORWARD,Senate,KTVK,MAJORITY FORWARD,Democrat
2018,,Non-Candidate Issue Ads,MAJORITY FORWARD,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/MAJORITY FORWARD,Senate,KPHO-TV,MAJORITY FORWARD,Democrat
2018,,Non-Candidate Issue Ads,Majority Forward,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Majority Forward,Senate,KNXV-TV,Majority Forward,Democrat
2018,,Non-Candidate Issue Ads,Majority Forward,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/Majority Forward,Senate,KUTP,Majority Forward,Democrat
2018,,Non-Candidate Issue Ads,Majority Forward,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Majority Forward,Senate,KASW,Majority Forward,Democrat
2018,,Non-Candidate Issue Ads,Majority Forward,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Majority Forward,Senate,KSAZ-TV,Majority Forward,Democrat
2018,,Non-Candidate Issue Ads,Majority Forward,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Majority Forward,Senate,KAZT-TV,Majority Forward,Democrat
2018,,Non-Candidate Issue Ads,Majority Forward 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/Majority Forward 2018,Senate,KPNX,Majority Forward,Democrat
