Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,,Non-Candidate Issue Ads,PATRIOT MAJORITY USA,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/PATRIOT MAJORITY USA,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Working Families Party IE Committee,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Working Families Party IE Committee,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Arizona Education Project,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Project,,KSAZ-TV
2018,,Non-Candidate Issue Ads,DAGA Peoples Lawyer Project,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA Peoples Lawyer Project,,KSAZ-TV
2018,,Non-Candidate Issue Ads,NRSC-IE,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/NRSC-IE,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Clean Energy For A Hlthy AZ,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy For A Hlthy AZ,,KSAZ-TV
2018,,Non-Candidate Issue Ads,One Nation,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/One Nation,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Red and Gold,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Red and Gold,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Arizona For Freedom,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona For Freedom,,KSAZ-TV
2018,,Non-Candidate Issue Ads,NRSC,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/NRSC,,KSAZ-TV
2018,,Non-Candidate Issue Ads,RGA - Republican Governors Association,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/RGA - Republican Governors Association,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Arizona Education Association,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Association,,KSAZ-TV
