Cycle,District,Jurisdiction,Name,Path,Race,Station,NameSimpl,Party
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy,,KSAZ-TV,Citizens for Fair Tax Policy,
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy 2018,,KPNX,Citizens for Fair Tax Policy ,
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy - PRIMARY,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy - PRIMARY,,KNXV-TV,Citizens for Fair Tax Policy   ,
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy - GENERAL,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy - GENERAL,,KNXV-TV,Citizens for Fair Tax Policy   ,
2018,,Non-Candidate Issue Ads,Clean Energy For A Hlthy AZ,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy For A Hlthy AZ,,KSAZ-TV,Clean Energy For A Hlthy ARIZONA,
2018,,Non-Candidate Issue Ads,Clean Energy for A Healthy AZ 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for A Healthy AZ 2018,,KPNX,Clean Energy for A Healthy ARIZONA ,
2018,,Non-Candidate Issue Ads,Clean Energy for a Healthy Arizona,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona,,KNXV-TV,Clean Energy for a Healthy Arizona,
2018,,Non-Candidate Issue Ads,Clean Energy for a Healthy Arizona,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona,,KAZT-TV,Clean Energy for a Healthy Arizona,
2018,,Non-Candidate Issue Ads,Clean Energy for a Healthy Arizona,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona,,KASW,Clean Energy for a Healthy Arizona,
2018,,Non-Candidate Issue Ads,DAGA-Democratic Attorneys General Association 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/DAGA-Democratic Attorneys General Association 2018,Attorney General,KPNX,DAGA Democratic Attorneys General Association ,Democrat
2018,,Non-Candidate Issue Ads,DAGA PEOPLES LAWYER PROJECT,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA PEOPLES LAWYER PROJECT,Attorney General,KPHO-TV,DAGA PEOPLES LAWYER PROJECT,Democrat
2018,,Non-Candidate Issue Ads,DAGA Peoples Lawyer Project,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA Peoples Lawyer Project,Attorney General,KSAZ-TV,DAGA Peoples Lawyer Project,Democrat
2018,,Non-Candidate Issue Ads,DAGA Peoples Lawyers Project,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA Peoples Lawyers Project,Attorney General,KNXV-TV,DAGA Peoples Lawyers Project,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KSAZ-TV,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KUTP,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KPHO-TV,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KASW,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KNXV-TV,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KTVK,DCCC,Democrat
2018,,Non-Candidate Issue Ads,DCCC-Democratic Congressional Campaign Committee 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/DCCC-Democratic Congressional Campaign Committee 2018,House,KPNX,DCCC Democratic Congressional Campaign Committee ,Democrat
2018,,Non-Candidate Issue Ads,DEFEND ARIZONA,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/DEFEND ARIZONA,,KTVK,DEFEND ARIZONA,
2018,,Non-Candidate Issue Ads,DEFEND ARIZONA,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DEFEND ARIZONA,,KPHO-TV,DEFEND ARIZONA,
2018,,Non-Candidate Issue Ads,DSCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/DSCC,Senate,KSAZ-TV,DSCC,Democrat
2018,,Non-Candidate Issue Ads,DSCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/DSCC,Senate,KUTP,DSCC,Democrat
2018,,Non-Candidate Issue Ads,DSCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/DSCC,Senate,KASW,DSCC,Democrat
