Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,,Non-Candidate Issue Ads,US Chamber of Commerce,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/US Chamber of Commerce,,KNXV-TV
2018,,Non-Candidate Issue Ads,Working Families Party IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Working Families Party IE,,KNXV-TV
2018,,State,Arizona Democratic Party - Contreras for Attorney General - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Arizona Democratic Party - Contreras for Attorney General - GENERAL ELECTION,,KNXV-TV
2018,,State,Arizona Democratic Party - Hobbs for AZ Secretary of State - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Arizona Democratic Party - Hobbs for AZ Secretary of State - GENERAL ELECTION,,KNXV-TV
2018,,State,Arizona Republican Party - Mark Brnovich for AZ,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Arizona Republican Party - Mark Brnovich for AZ,,KNXV-TV
2018,,State,Arizona Republican Party Ducey - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Arizona Republican Party Ducey - GENERAL ELECTION,,KNXV-TV
2018,,State,Brnovich for Attorney General - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Brnovich for Attorney General - GENERAL ELECTION,,KNXV-TV
2018,,State,Ducey Republican Governor - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Ducey Republican Governor - GENERAL ELECTION,,KNXV-TV
2018,,State,Ducey Republican Governor - PRIMARY ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Ducey Republican Governor - PRIMARY ELECTION,,KNXV-TV
2018,,State,Farley for Governor - PRIMARY ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Farley for Governor - PRIMARY ELECTION,,KNXV-TV
