Path,Result
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally US Senate 26230008 NAB.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally US Senate 26230008.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC/45 Committee 26229566 NAB.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC/45 Committee 26229566.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC/45 Committee 26229570 NAB.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC/45 Committee 26229570.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/AFSCME People Pac/AFSCME People 26034946.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/AFSCME People Pac/AFSCME People NAB 26034946.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party/AZ Rep Party 26211631.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party/AZ Rep Party 26211632.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party/AZ Rep Party NAB 26211631.pdf,File not OCRd
