Cycle,District,Jurisdiction,Name,Path,Race,Station,Party,NameSimpl,MatchedName
2018,,State,Manoil Democrat State Treasurer - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Manoil Democrat State Treasurer - GENERAL ELECTION,State Treasurer,KNXV-TV,Democrat,Manoil    ,Manoil Democrat State Treasurer - GENERAL ELECTION
2018,,State,Manoil Democrat State Treasurer - PRIMARY ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Manoil Democrat State Treasurer - PRIMARY ELECTION,State Treasurer,KNXV-TV,Democrat,Manoil    ,Manoil Democrat State Treasurer - GENERAL ELECTION
2018,,Federal,DSCC-SINEMA FOR ARIZONA,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US Senate/DSCC-SINEMA FOR ARIZONA,Senate,KPHO-TV,Democrat, SINEMA  ,Kyrsten Sinema
2018,,Federal,MCSALLY FOR SENATE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US Senate/MCSALLY FOR SENATE,Senate,KPHO-TV,,MCSALLY  ,McSally for Senate
2018,,Federal,NRSC MCSALLY FOR SENATE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US Senate/NRSC MCSALLY FOR SENATE,Senate,KPHO-TV,Republican, MCSALLY  ,McSally for Senate
2018,,Federal,SINEMA FOR ARIZONA,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US Senate/SINEMA FOR ARIZONA,,KPHO-TV,,SINEMA  ,Kyrsten Sinema
2018,AZ 01,Federal,DCCC T OHALLERAN FOR US CONGRESS AZ-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 01/DCCC T OHALLERAN FOR US CONGRESS AZ-1,House,KPHO-TV,Democrat, T OHALLERAN   1,DCCC T OHALLERAN AZ-1
2018,AZ 01,Federal,T OHALLERAN FOR US CONGRESS AZ-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 01/T OHALLERAN FOR US CONGRESS AZ-1,House,KPHO-TV,,T OHALLERAN   1,DCCC T OHALLERAN AZ-1
2018,AZ 01,Federal,TIFFANY SHEDD FOR US CONGRESS AS-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 01/TIFFANY SHEDD FOR US CONGRESS AS-1,House,KPHO-TV,,TIFFANY SHEDD  AS 1,TIFFANY SHEDD FOR US CONGRESS AS-1
2018,AZ 01,Federal,WENDY ROGERS FOR US CONGRESS AZ-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 01/WENDY ROGERS FOR US CONGRESS AZ-1,House,KPHO-TV,,WENDY ROGERS   1,WENDY ROGERS FOR US CONGRESS AZ-1
2018,AZ 07,Federal,RUBEN GALLEGO US CONGRESS AZ-07,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 07/RUBEN GALLEGO US CONGRESS AZ-07,House,KPHO-TV,,RUBEN GALLEGO  07,RUBEN GALLEGO US CONGRESS AZ-07
2018,AZ 08,Federal,DEBBIE LESKO NRCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 08/DEBBIE LESKO NRCC,House,KPHO-TV,Republican,DEBBIE LESKO ,DEBBIE LESKO NRCC
2018,AZ 08,Federal,DEBBIE LESKO R CONGRESS,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 08/DEBBIE LESKO R CONGRESS,House,KPHO-TV,Republican,DEBBIE LESKO,DEBBIE LESKO NRCC
2018,AZ 08,Federal,HIRAL TIPIRNENI DCONGRESS,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 08/HIRAL TIPIRNENI DCONGRESS,House,KPHO-TV,,HIRAL TIPIRNENI D,HIRAL TIPIRNENI DCONGRESS
2018,AZ 08,Federal,LESKO FOR CONGRESS-AZ REPUBLICAN PARTY,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 08/LESKO FOR CONGRESS-AZ REPUBLICAN PARTY,House,KPHO-TV,Republican,LESKO    ,DEBBIE LESKO NRCC
2018,AZ 09,Federal,GREG STANTON - US CONGRESS AZ-09,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 09/GREG STANTON - US CONGRESS AZ-09,House,KPHO-TV,,GREG STANTON    09,Greg Stanton for Congress
2018,AZ 09,Federal,STEVE FERRARA - US CONGRESS AS-09,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 09/STEVE FERRARA - US CONGRESS AS-09,House,KPHO-TV,,STEVE FERRARA   AS 09,STEVE FERRARA - US CONGRESS AS-09
2018,,Non-Candidate Issue Ads,45 COMMITTEE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/45 COMMITTEE,,KPHO-TV,,45 COMMITTEE,45 Committe PAC
2018,,Non-Candidate Issue Ads,ACLU,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ACLU,,KPHO-TV,,American Civil Liberties Union,ACLU AZ
2018,,Non-Candidate Issue Ads,AFSCME PEOPLE AZ,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCME PEOPLE AZ,,KPHO-TV,,AFSCME PEOPLE ARIZONA,AFSCME People Pac
2018,,Non-Candidate Issue Ads,ARIZONA EDUCATION PROJECT,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA EDUCATION PROJECT,,KPHO-TV,,ARIZONA EDUCATION PROJECT,ARIZONA EDUCATION PROJECT
2018,,Non-Candidate Issue Ads,ARIZONA FOR FREEDOM,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA FOR FREEDOM,,KPHO-TV,,ARIZONA FOR FREEDOM,Arizona for Freedom
2018,,Non-Candidate Issue Ads,ARIZONA REPUBLICAN PARTY,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA REPUBLICAN PARTY,,KPHO-TV,Republican,ARIZONA REPUBLICAN PARTY,Arizona Republican Party
