Path,Result
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26114953.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26115882.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26122540.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26131257.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26141402.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26206584.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB Form 1615755.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB Form 26110225.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB Form.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema 26237212 NAB.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema 26237212.pdf,ordersScraping or Timeout Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26206584.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26215353.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26219610.pdf,orders Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26220166.pdf,ordersScraping or Timeout Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26226336.pdf,ordersScraping or Timeout Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26227072.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26206584.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26215353.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26219610.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26220166.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26226336.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26227072.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114953.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26135509.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26126650.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema DSCC/DSCC.Sinema 26228675 NAB.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema DSCC/Kyrsten Sinema DSCC 2.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema DSCC/Sinema- 26228675.pdf,ordersScraping or Timeout Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/kaswlong.pdf,invoices Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/Kyrsten Sinema 1615755-1 Invoice.pdf,invoices Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/Kyrsten Sinema 26110225-1 Invoice.pdf,invoices Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally 26228554 NAB.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally 26228554.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate 26117853-1.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate 26117853.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate 26134795-1.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate 26134795.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate NAB 26134795.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate NAB.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally NAB 26224572.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally US Senate 26224572.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally US Senate 26229919 NAB.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally US Senate 26229919.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally US Senate 26230008 NAB.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally US Senate 26230008.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC/45 Committee 26229566 NAB.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC/45 Committee 26229566.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC/45 Committee 26229570 NAB.pdf,No parser written for file.
